Date: 2019-12-23 15:08:48.2034 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/throbber-gif: Correlation ID not set, using generated 886df191-3951-4ab1-bcab-318d4055329f , 
Date: 2019-12-23 15:08:50.5613 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 89d4b876-848f-4f0e-ae53-c424de5d62a7 , 
Date: 2019-12-23 15:09:36.2029 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated daa9656f-fbbf-4402-b744-3f6e0e46e036 , 
Date: 2019-12-23 15:09:46.4423 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 0be9bb1d-e1fb-4da1-8271-a69ae6466568 , 
Date: 2019-12-23 15:15:10.0393 , LoggerName: Tieto.TSU.Performance.DataService.WebApiApplication , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: Trace entry using Tieto.TSU.Performance.DataService -> Application_Start , 
Date: 2019-12-23 15:15:12.6170 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/: Correlation ID not set, using generated ffa14504-1b0d-4e62-978d-c514ed7fa8b9 , 
Date: 2019-12-23 15:15:13.2375 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/index: Correlation ID not set, using generated ae2ce7dd-c4e2-4aa4-abb5-95a28925ebd6 , 
Date: 2019-12-23 15:15:13.3035 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/typography-css: Correlation ID not set, using generated bbf2cfe3-6563-4bca-93de-a1e16c4857b4 , 
Date: 2019-12-23 15:15:13.3035 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/reset-css: Correlation ID not set, using generated b454a19e-480c-46fa-bba5-00cfa952cf56 , 
Date: 2019-12-23 15:15:13.3035 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/screen-css: Correlation ID not set, using generated 4ee15415-4a48-475e-92df-3fbb332a274c , 
Date: 2019-12-23 15:15:13.3035 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/print-css: Correlation ID not set, using generated bab24be0-aa01-4c57-96d9-5ee2d70a462e , 
Date: 2019-12-23 15:15:13.3035 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/ext/Tieto-TSU-Performance-DataService-Content-SwaggerCustom-css: Correlation ID not set, using generated f52e25df-952e-4981-baaf-29e731f7f245 , 
Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/object-assign-pollyfill-js: Correlation ID not set, using generated 6bc6d1e3-1668-40b2-b69f-3508d917ca9c , 
